Tot,Response,Type,AutN,Study,Continent,Taxa,Source,StudyType,STBin,yi,vi,se,lowerci,upperci
Study,F0,Event-based,38,A,North,Avian,Traffic,Acute,1,-0.035183925,0.222256609,0.471440992,-0.959208268,0.888840419
Study,Duration,Continuous,10,AA,North,Avian,Urban,Chronic,0,0.482803739,0.03129551,0.033431973,0.417277072,0.548330405
Study,Max Frequency,Continuous,68,AA,North,Avian,Urban,Chronic,0,0.88643683,0.025319567,0.030071087,0.8274975,0.94537616
Study,Min Frequency,Continuous,99,AA,North,Avian,Urban,Chronic,0,0.033706373,0.03502336,0.035367136,-0.035613213,0.103025959
Study,Duration,Continuous,12,AB,North,Avian,Energy,Chronic,0,-0.893987221,0.017828815,0.02111209,-0.935366918,-0.852607523
Study,Duration,Continuous,13,AB,North,Avian,Energy,Chronic,0,1.912039083,0.018705232,0.030582047,1.852098271,1.971979895
Study,F0,Continuous,40,AB,North,Avian,Energy,Chronic,0,0.198184375,0.024185496,0.024589376,0.149989199,0.246379552
Study,F0,Continuous,41,AB,North,Avian,Energy,Chronic,0,0.547094977,0.042086772,0.045873071,0.457183759,0.637006196
Study,Max Frequency,Continuous,65,AB,North,Avian,Energy,Chronic,0,2.027101064,0.017517907,0.029595529,1.969093827,2.085108302
Study,Min Frequency,Continuous,100,AB,North,Avian,Energy,Chronic,0,1.396572959,0.013150139,0.01813156,1.361035101,1.432110817
Study,Min Frequency,Continuous,101,AB,North,Avian,Energy,Chronic,0,0.086174964,0.048466405,0.049227231,-0.010310407,0.182660336
Study,Duration,Continuous,20,AC,EU,Avian,Urban,Chronic,0,-0.805661917,0.018756604,0.021654448,-0.848104635,-0.7632192
Study,F0,Continuous,47,AC,EU,Avian,Urban,Chronic,0,0.380193729,0.022980906,0.023969202,0.333214093,0.427173365
Study,Max Frequency,Continuous,77,AC,EU,Avian,Urban,Chronic,0,0.301078054,0.023578607,0.024278904,0.253491402,0.348664706
Study,Min Frequency,Continuous,102,AC,EU,Avian,Urban,Chronic,0,1.343389269,0.013583682,0.018428023,1.307270343,1.379508195
Study,Min Frequency,Continuous,103,AD,SA,Avian,Traffic,Chronic,0,1.007126844,0.037835113,0.047176211,0.914661471,1.099592218
Study,Min Frequency,Continuous,104,AD,SA,Avian,Traffic,Chronic,0,0.428205915,0.029926684,0.031584112,0.366301056,0.490110774
Study,Min Frequency,Continuous,105,AD,SA,Avian,Traffic,Chronic,0,2.691671708,0.018107674,0.037321549,2.618521472,2.764821944
Study,Min Frequency,Continuous,106,AD,SA,Avian,Traffic,Chronic,0,0.713560384,0.036851008,0.041890451,0.6314551,0.795665669
Study,Min Frequency,Continuous,107,AD,SA,Avian,Traffic,Chronic,0,0.192837466,0.055814063,0.057299041,0.080531344,0.305143587
Study,Min Frequency,Continuous,108,AD,SA,Avian,Traffic,Chronic,0,0.517647059,0.033118647,0.035690253,0.447694164,0.587599954
Study,Min Frequency,Continuous,109,AD,SA,Avian,Traffic,Chronic,0,-0.294463261,0.048866843,0.050714289,-0.393863268,-0.195063255
Study,Min Frequency,Continuous,110,AD,SA,Avian,Traffic,Chronic,0,0.218466226,0.024083,0.024537217,0.170373282,0.266559171
Study,Min Frequency,Continuous,111,AD,SA,Avian,Traffic,Chronic,0,1.910107325,0.024341009,0.040283172,1.831152308,1.989062341
Study,Min Frequency,Continuous,112,AD,SA,Avian,Traffic,Chronic,0,-0.07794289,0.034932331,0.035321144,-0.147172334,-0.008713447
Study,Min Frequency,Continuous,113,AD,SA,Avian,Traffic,Chronic,0,0.473749894,0.028447538,0.030292945,0.414375722,0.533124066
Study,Min Frequency,Continuous,114,AD,SA,Avian,Traffic,Chronic,0,-0.376312141,0.052909932,0.05578843,-0.485657464,-0.266966818
